id_copia;fecha_alquiler;fecha_devolucion;dni;nombre;apellido_1;apellido_2;email;telefono;codigo_postal;fecha_nacimiento;numero;piso;letra;calle;extension;titulo;genero;sinopsis;director
6;04/01/2024;;8568516G;Carla;Rojas;Pastor;carla.rojas.pastor@gmail.com;613713642;47008;12/10/1990;65;3;D;Hernán Cortés;3D;El padrino. Parte II;Drama;Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.;Francis Ford Coppola
7;13/01/2024;;7402615L;Eva;Hidalgo;Cortes;eva.hidalgo.cortes@gmail.com;666238181;47003;02/09/2010;57;2;A;Fuente;2A;El padrino. Parte II;Drama;Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.;Francis Ford Coppola
8;24/01/2024;25/01/2024;8344064D;Lidia;Calvo;Iglesias;lidia.calvo.iglesias@gmail.com;641396802;47002;09/03/1998;99;1;Der.;Clara Campoamor;1Der.;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
8;27/01/2024;28/01/2024;6298662C;Angela;Lopez;Rubio;angela.lopez.rubio@gmail.com;628535856;47001;26/06/1992;37;3;Der.;Real;3Der.;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
8;02/02/2024;;2237186E;Eduardo;Alonso;Castro;eduardo.alonso.castro@gmail.com;684839436;47007;25/07/1999;12;1;D;Reina Sofía;1D;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
9;30/01/2024;31/01/2024;8568516G;Carla;Rojas;Pastor;carla.rojas.pastor@gmail.com;613713642;47008;12/10/1990;65;3;D;Hernán Cortés;3D;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
9;01/02/2024;;6152776T;Margarita;Nuñez;Fuentes;margarita.nuñez.fuentes@gmail.com;614215413;47007;02/03/1998;62;2;Izq.;Bartolomé Esteban Murillo;2Izq.;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
10;11/01/2024;;6098616M;Javier;Dominguez;Lozano;javier.dominguez.lozano@gmail.com;616805343;47008;03/11/2010;42;2;Der.;María Zambrano;2Der.;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
11;14/01/2024;;8344064D;Lidia;Calvo;Iglesias;lidia.calvo.iglesias@gmail.com;641396802;47002;09/03/1998;99;1;Der.;Clara Campoamor;1Der.;La lista de Schindler;Drama;Oskar Schindler, un hombre de enorme astucia y talento para las relaciones públicas, organiza un ambicioso plan para ganarse la simpatía de los nazis. Después de la invasión de Polonia por los alemanes, consigue, gracias a sus relaciones con los nazis, la propiedad de una fábrica de Cracovia. Allí emplea a cientos de operarios judíos, cuya explotación le hace prosperar rápidamente. Su gerente, también judío, es el verdadero director en la sombra, pues Schindler no tiene el menor conocimiento industrial.;Steven Spielberg
12;02/02/2024;;7402615L;Eva;Hidalgo;Cortes;eva.hidalgo.cortes@gmail.com;666238181;47003;02/09/2010;57;2;A;Fuente;2A;12 hombres sin piedad;Drama;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;Sidney Lumet
13;04/01/2024;05/01/2024;6938009J;Xavier;Caballero;Fuentes;xavier.caballero.fuentes@gmail.com;671280006;47004;05/02/2000;89;1;B;Iglesia;1B;12 hombres sin piedad;Drama;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;Sidney Lumet
13;17/01/2024;;3913881V;Maria pilar;Gallego;Moya;maria pilar.gallego.moya@gmail.com;611154361;47003;22/03/2015;86;3;B;Iglesia;3B;12 hombres sin piedad;Drama;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;Sidney Lumet
14;08/01/2024;;8552386C;Domingo;Mora;Ibañez;domingo.mora.ibañez@gmail.com;618225142;47000;08/04/2000;57;4;B;Reina Sofía;4B;12 hombres sin piedad;Drama;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;Sidney Lumet
15;22/01/2024;;6098616M;Javier;Dominguez;Lozano;javier.dominguez.lozano@gmail.com;616805343;47008;03/11/2010;42;2;Der.;María Zambrano;2Der.;12 hombres sin piedad;Drama;Tras escuchar todos los testimonios y valorar las pruebas presentadas, un jurado popular compuesto por doce hombres tiene que decidir, por unanimidad, si absuelve o condena a muerte a un joven acusado de haber matado a su padre. Al principio, once están completamente convencidos de su culpabilidad y se inclinan por la condena, pero el que discrepa empieza a plantear dudas razonables que, poco a poco, van resquebrajando la inicial seguridad de los demás.;Sidney Lumet
16;10/01/2024;;8597459J;Jaime;Cruz;Calvo;jaime.cruz.calvo@gmail.com;617112942;47003;05/01/2005;87;4;Izq.;Iglesia;4Izq.;Un amor contra viento y marea;Comedia;Los Singh son una familia india con grandes convicciones culturales de su nación de origen, que emigraron a Reino Unido antes de nacer sus primeros hijos. Uno de ellos querrá casarse con una mujer ajena a su cultura y para ello deberá hacer todos los esfuerzos por convencer a su familia.;Aditya Chopra
17;02/01/2024;;2285124M;Jose ignacio;Rojas;Blanco;jose ignacio.rojas.blanco@gmail.com;604696806;47007;06/11/2010;57;4;A;Concepción Arenal;4A;Un amor contra viento y marea;Comedia;Los Singh son una familia india con grandes convicciones culturales de su nación de origen, que emigraron a Reino Unido antes de nacer sus primeros hijos. Uno de ellos querrá casarse con una mujer ajena a su cultura y para ello deberá hacer todos los esfuerzos por convencer a su familia.;Aditya Chopra
18;06/01/2024;;8843886H;Jaime;Rojas;Gimenez;jaime.rojas.gimenez@gmail.com;600852997;47009;28/08/2011;38;4;C;Constitución;4C;El viaje de Chihiro;Animación;Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.;Hayao Miyazaki
19;22/01/2024;;4426152D;Adrian;Gil;Fernandez;adrian.gil.fernandez@gmail.com;675655492;47002;21/03/1995;64;4;A;Francisco de Goya;4A;El viaje de Chihiro;Animación;Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.;Hayao Miyazaki
20;29/01/2024;;8597459J;Jaime;Cruz;Calvo;jaime.cruz.calvo@gmail.com;617112942;47003;05/01/2005;87;4;Izq.;Iglesia;4Izq.;El viaje de Chihiro;Animación;Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.;Hayao Miyazaki
21;05/01/2024;;5653366N;Maria nieves;Lozano;Leon;maria nieves.lozano.leon@gmail.com;680082585;47003;06/01/2002;21;2;Der.;Hernán Cortés;2Der.;El viaje de Chihiro;Animación;Durante el traslado de su familia a los suburbios, una niña de 10 años de edad deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.;Hayao Miyazaki
22;08/01/2024;;2237186E;Eduardo;Alonso;Castro;eduardo.alonso.castro@gmail.com;684839436;47007;25/07/1999;12;1;D;Reina Sofía;1D;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
23;21/01/2024;22/01/2024;6121885K;Joaquin;Gil;Diaz;joaquin.gil.diaz@gmail.com;610203487;47005;29/07/2009;13;4;A;Miguel de Cervantes;4A;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
23;24/01/2024;25/01/2024;2537526M;Jose antonio;Guerrero;Molina;jose antonio.guerrero.molina@gmail.com;675872614;47007;30/11/1991;17;3;Izq.;Dulcinea;3Izq.;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
23;01/02/2024;;7719170W;Aitor;Ibañez;Morales;aitor.ibañez.morales@gmail.com;683249365;47009;04/02/2002;49;1;Der.;María Zambrano;1Der.;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
24;28/01/2024;29/01/2024;7158923N;Paula;Campos;Navarro;paula.campos.navarro@gmail.com;649523596;47005;29/09/2016;92;1;B;Hernán Cortés;1B;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
24;31/01/2024;;4426152D;Adrian;Gil;Fernandez;adrian.gil.fernandez@gmail.com;675655492;47002;21/03/1995;64;4;A;Francisco de Goya;4A;El caballero oscuro;Drama;Batman/Bruce Wayne regresa para continuar su guerra contra el crimen. Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman se propone destruir el crimen organizado en la ciudad de Gotham. El triunvirato demuestra su eficacia, pero, de repente, aparece Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.;Christopher Nolan
25;14/01/2024;15/01/2024;6121885K;Joaquin;Gil;Diaz;joaquin.gil.diaz@gmail.com;610203487;47005;29/07/2009;13;4;A;Miguel de Cervantes;4A;Parásitos;Comedia;Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a recibir clases particulares en casa de Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;Bong Joon-ho
25;19/01/2024;;5125350F;Jose;Saez;Garcia;jose.saez.garcia@gmail.com;637666889;47001;05/10/2016;50;4;Der.;Real;4Der.;Parásitos;Comedia;Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a recibir clases particulares en casa de Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;Bong Joon-ho
26;13/01/2024;14/01/2024;3252617A;Pilar;Marquez;Lozano;pilar.marquez.lozano@gmail.com;621541699;47000;13/07/2000;95;1;B;Eras;1B;Parásitos;Comedia;Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a recibir clases particulares en casa de Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;Bong Joon-ho
26;22/01/2024;23/01/2024;3252617A;Pilar;Marquez;Lozano;pilar.marquez.lozano@gmail.com;621541699;47000;13/07/2000;95;1;B;Eras;1B;Parásitos;Comedia;Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a recibir clases particulares en casa de Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;Bong Joon-ho
26;30/01/2024;;4437589S;Pedro;Iglesias;Garrido;pedro.iglesias.garrido@gmail.com;634143203;47000;02/12/1999;34;1;B;Federico García Lorca;1B;Parásitos;Comedia;Tanto Gi Taek como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo, empieza a recibir clases particulares en casa de Park, las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.;Bong Joon-ho
27;14/01/2024;15/01/2024;1396452F;Maria carmen;Crespo;Reyes;maria carmen.crespo.reyes@gmail.com;607425989;47005;17/11/2000;58;1;A;Francisco de Goya;1A;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
27;26/01/2024;;2950461K;Maria rosa;Herrera;Nuñez;maria rosa.herrera.nuñez@gmail.com;674343471;47003;24/07/2003;76;3;D;Pablo Picasso;3D;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
28;03/01/2024;04/01/2024;7719170W;Aitor;Ibañez;Morales;aitor.ibañez.morales@gmail.com;683249365;47009;04/02/2002;49;1;Der.;María Zambrano;1Der.;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
28;10/01/2024;;5125350F;Jose;Saez;Garcia;jose.saez.garcia@gmail.com;637666889;47001;05/10/2016;50;4;Der.;Real;4Der.;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
29;13/01/2024;;6098616M;Javier;Dominguez;Lozano;javier.dominguez.lozano@gmail.com;616805343;47008;03/11/2010;42;2;Der.;María Zambrano;2Der.;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
30;08/01/2024;;5396546X;Josefa;Rivera;Saez;josefa.rivera.saez@gmail.com;656840966;47004;01/08/2016;38;2;Der.;Dolores Ibárruri;2Der.;La milla verde;Fantasía;En el sur de los Estados Unidos, en plena Depresión, Paul Edgecomb es un vigilante penitenciario a cargo de la Milla Verde, un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. Esperando su ejecución está John Coffey, un gigantesco negro acusado de asesinar brutalmente a dos hermanas de nueve años. Tras una personalidad ingenua, Coffey esconde un don sobrenatural prodigioso. A medida que transcurre la historia, Paul Edgecomb aprende que los milagros ocurren... incluso en los lugares más insospechados.;Frank Darabont
31;06/01/2024;;4652257R;Jose ignacio;Rodriguez;Gallardo;jose ignacio.rodriguez.gallardo@gmail.com;628297793;47009;12/01/1998;70;2;D;Fuente;2D;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
32;01/02/2024;;7281621M;Jorge;Mendez;Alvarez;jorge.mendez.alvarez@gmail.com;615944300;47006;26/05/2002;56;3;Izq.;Sol;3Izq.;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
33;21/01/2024;;7070649N;Albert;Cruz;Gomez;albert.cruz.gomez@gmail.com;632333185;47006;23/02/2015;3;3;C;Constitución;3C;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
34;12/01/2024;13/01/2024;7386143S;Marta;Santiago;Rubio;marta.santiago.rubio@gmail.com;667115015;47006;01/03/2017;71;2;D;Mariana Pineda;2D;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
34;13/01/2024;14/01/2024;2475849Z;Adrian;Santiago;Roman;adrian.santiago.roman@gmail.com;699684082;47001;20/12/2006;44;1;D;Agustina de Aragón;1D;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
34;30/01/2024;31/01/2024;1638778M;Angel;Lorenzo;Caballero;angel.lorenzo.caballero@gmail.com;698073069;47008;30/07/2011;82;1;Izq.;Sol;1Izq.;Your Name;Romántica;Taki y Mitsuha descubren un día que durante el sueño sus cuerpos se intercambian, y comienzan a comunicarse por medio de notas. A medida que consiguen superar torpemente un reto tras otro, se va creando entre los dos un vínculo que poco a poco se convierte en algo más romántico.;Makoto Shinkai
